TransactionID	OrderDate	RecipientAccountID	SenderAccountID	CountryKey	Amount	Balance
SO43897	Friday, August 25, 2017	235	312	4	57.68	63.45
SO43897	Friday, August 25, 2017	351	312	4	4049.98	3796.19
SO43897	Friday, August 25, 2017	348	312	4	4049.98	3796.19
SO43897	Friday, August 25, 2017	232	312	4	57.68	63.45
SO44544	Saturday, November 18, 2017	292	312	4	1637.4	1413.62
SO44544	Saturday, November 18, 2017	220	312	4	40.38	24.06
SO44544	Saturday, November 18, 2017	351	312	4	4049.98	3796.19
SO44544	Saturday, November 18, 2017	349	312	4	4049.98	3796.19
SO44544	Saturday, November 18, 2017	344	312	4	4079.98	3824.31
SO45321	Sunday, February 18, 2018	346	312	4	4079.98	3824.31
SO45321	Sunday, February 18, 2018	347	312	4	4079.98	3824.31
SO46082	Wednesday, May 23, 2018	220	312	4	40.38	24.06
SO46082	Wednesday, May 23, 2018	346	312	4	4079.98	3824.31
SO46082	Wednesday, May 23, 2018	345	312	4	4079.98	3824.31
SO46082	Wednesday, May 23, 2018	232	312	4	57.68	63.45
SO46082	Wednesday, May 23, 2018	344	312	4	4079.98	3824.31
SO46082	Wednesday, May 23, 2018	348	312	4	4049.98	3796.19
SO46082	Wednesday, May 23, 2018	212	312	4	40.38	24.06
SO47028	Friday, August 24, 2018	410	312	4	72.9	53.94
SO47028	Friday, August 24, 2018	464	312	4	28.26	19.43
SO47028	Friday, August 24, 2018	412	312	4	360.26	266.59
SO47028	Friday, August 24, 2018	420	312	4	283.24	209.59
SO47028	Friday, August 24, 2018	468	312	4	45.58	31.34
SO47028	Friday, August 24, 2018	360	312	4	2458.92	2211.62
SO47028	Friday, August 24, 2018	409	312	4	418.52	371.64
SO47028	Friday, August 24, 2018	308	312	4	1488.54	1321.83
SO47028	Friday, August 24, 2018	428	312	4	418.52	371.64
SO48049	Monday, November 19, 2018	401	312	4	131.2	97.09
SO48049	Monday, November 19, 2018	224	312	4	10.38	10.46
SO48049	Monday, November 19, 2018	412	312	4	360.26	266.59
SO48049	Monday, November 19, 2018	458	312	4	89.98	61.87
SO48049	Monday, November 19, 2018	411	312	4	250.84	185.61
SO48049	Monday, November 19, 2018	297	312	4	1472.3	1307.39
SO48049	Monday, November 19, 2018	409	312	4	418.52	371.64
SO48049	Monday, November 19, 2018	221	312	4	40.38	27.76
